acronym,definition
5329,Publ 5329: Tax Exempt & Government Entities (TE/GE) Business Operating Division Fiscal Year Accomplishments Letter
5330,Form 5330: Return of Excise Taxes Related to Employee Benefit Plans
5330,Publ 5330: The New Tax Law Cut Law Will Impact Your 2018 Tax Return
5330-A,Publ 5330-A: The New Tax Cut Law Will Impact Your Tax Return (without APA logo)
5331,Publ 5331: Charities and Other Tax-Exempt Organizations
5332,Publ 5332: Estate Tax Returns Filed for Wealthy Decedents
5334,Publ 5334: Do I Qualify for EITC?
5335,Publ 5335: IRS History Timeline Book
5336,Publ 5336: IRS Intergrated Modernization Business Plan
5337,Publ 5337: Individual Noncash Charitable Contributions
5338,Publ 5338: Partnerships Returns One Sheet
5339,"Publ 5339: Affirmative Action Plan for the Recruitment, Hiring, Advancement, and Retention of Persons with Disabilities"
534,Publ 534: Depreciating Property Placed In Service Before 1987
5341,Publ 5341: The Taxpayer Roadmap
5343,Publ 5343: Helpful Hints for Indian Tribes and Tribal Entities to Avoid Penalties on Federal Tax Deposits and Information Returns
5344,Publ 5344: Statistics of Income Program Details
5345,Publ 5345: Statistics of Income Public Release List
5346,"Publ 5346: Instructions for Form 8980, Partnership Request for Modification of Imputed Underpayments Under IRC Section 6225(c)"
5347,Publ 5347: Fact Sheet for SPEC Partners and Employees - Quality Statistical Sample (QSS) Review Results
5348,Publ 5348: Get Ready to File
5349,Publ 5349: Year-round Tax Planning is for Everyone
535,Publ 535: Business Expenses
5351,Publ 5351: Unsolicited Proposal Guide
5352,"Publ 5352: Individual Income Tax Returns with Small Business Income and Losses, Tax Years 2015-2017"
5353,Publ 5353: Fact Sheet for SPEC Partners and Employees - Intake & Interview and Quality Review Policy
5354,Publ 5354: Criminal Tax Bulletin
5358,Publ 5358: Fact Sheet for SPEC Partners and Employees Filing Season 2020: VITA/TCE Training and Site Materials
536,"Publ 536: Net Operating Losses (NOLs) for Individuals, Estates, and Trusts"
5360,Publ 5360: Tax Withholding Estimator Infographic
5361,Publ 5361: Fact Sheet for SPEC Partners and Employees: TaxSlayer Procedural Updates
5362,Publ 5362: Fact Sheet for VITA/TCE Partners and Volunteers: Continuing Education Credits
5363,Publ 5363: Fact Sheet for VITA/TCE Partners and Volunteers Federal Tax Law Update Test for Circular 230 Professionals
5364,Publ 5364: Individual Income Tax Gap Estimates Executive Summary
5365,Publ 5365: Tax Gap Map
5366,Publ 5366: Family and Medical Leave Credit Infographic
5367 ,Publ 5367 : Identity Protection PIN Opt-In Program for Taxpayers
5368,Publ 5368: Federal Gift Tax Statistics
5369,Publ 5369: Gig economy and your taxes: things to know
537,Publ 537: Installment Sales
5370,Publ 5370: Key Insights Report
5372,Publ 5372: National Tax Security Awareness Week Partner Toolkit
5374,Publ 5374: Fact Sheet for SPEC Employees Link and Learn Taxes Certification Reports
5375,Publ 5375: How to Upload Documents to the IRS Online Registration System (CPEO)
5376,Publ 5376: VITA Grant Reporting Requirements
5377,Publ 5377: Fact Sheet for VITA/TCE Partners and Volunteers
5378,Publ 5378: Link & Learn Taxes Certification Tests: Getting Started
5379,Publ 5379: Fact Sheet for Partners and Employees Frequently Asked Questions Link and Learn Taxes Volunteer Certification Test
538,Publ 538: Accounting Periods and Methods
5380,Publ 5380: Fact Sheet: Filing Season 2021: Buying US Savings Bond with Your Tax Refund for VITA/TCE Taxpayers
5381,Publ 5381: Fact Sheet: Filing Season 2021: Form 8888 and Series I Savings Bonds for VITA/TCE Partners
5382,Publ 5382: Putting Taxpayers First: IRS Progress Update
5384,Publ 5384: Statistics of Income Program Documentation: Data Items by Forms and Schedules
5385,Publ 5385: Statistics of Income Individual Information Returns Line Item Estimates
5386,Publ 5386: Frequently Asked Questions Tax Year Link & Learn Taxes and Volunteer Certification Test
5387,Publ 5387: UNAX is Serious
5388,Publ 5388: BBA Taxpayer Roadmap (PPSF)
5390,"Publ 5390: Instructions for Preparing Administrative Claims for Damages Under Sections 7426(h), 7432, and 7433(a-d), and Request for Costs under Section 7430 Related to these Sections"
5392,Publ 5392: The Art Advisory Panel of the Commissioner of Internal Revenue Annual Summary Report
5395,Publ 5395: Fact Sheet for SPEC Partners VITA/TCE Scope and Product Change Requests
5396,Publ 5396: Fact Sheet for VITA/TCE Sites Impacted by Federally Declared Disasters
5396-A,Publ 5396-A: Job Aid for VITA/TCE Volunteers Using Form 4852 when Missing the Form W-2 or 1099-R
5396-B,Publ 5396-B: Volunteer Income Tax Assistance and Tax Counseling for the Elderly - Casualty Loss Screening Tool
5398,Publ 5398: Adjusted Gross Income Percentiles by State
5399,Publ 5399: Free File
54,Publ 54: Tax Guide for U.S. Citizens and Resident Aliens Abroad
5401,Publ 5401: General Recruitment for LB and I
5405,Form 5405: Repayment of the First-Time Homebuyer Credit
5406,Publ 5406: Overview of Form 1023 E-Filing
5408,Publ 5408: Fact Sheet for SPEC Partners and Employees: Expanded Virtual VITA/TCE Process for the Remainder of Filing Season
5409,Publ 5409: SBSE Annual Report
541,Publ 541: Partnerships
5410,Publ 5410: Fact Sheet for SPEC Partners and Employees: FSA Remote Process for Partners
5411,Publ 5411: Retirement Plans Reporting and Disclosure Requirements
5412,Publ 5412: Warning: Coronavirus Related Scams
5412-G,Publ 5412-G: Economic Impact Payment by Prepaid Debit Card
5412-J,Publ 5412-J: Economic Impact Payments for Americans Experiencing Homelessness
5412-L,Publ 5412-L: Follow IRS Social Media & Sign Up for e-News
5412-S,Publ 5412-S: Keep the Economic Impact Payment Notice for Your Tax Records
5414,Publ 5414: Fact Sheet for SPEC Partners Minimum Returns Required for Tax Preparation Software
5417,Publ 5417: Basic Security Plan Considerations for Tax Professionals
542,Publ 542: Corporations
5420,Publ 5420: Economic Impact Payments and Coronavirus Tax Relief: A Toolkit for Partners
5420-B,Publ 5420-B: Economic Impact Payment Non-Filer Step by Step Guide
5420-C,Publ 5420-C: An EIP Instructional Guide for Community Organizations Helping Non-filers or Federal Benefit Recipients
5420-D,"Publ 5420-D: Partner Toolkit: Small Business Relief: Employer Tax Credits, Paid leave for employees & Relief for compliance efforts"
5420-E,Publ 5420-E: A Toolkit for IRS Partners: COVID-19 Relief for Tax Exempt Organizations
5421,Publ 5421: Pilot IRS
5423,Publ 5423: Tax-related Identity Theft
5424,Publ 5424: Income Tax Guide for Native American Individuals and Sole Proprietors
5426,Publ 5426: Taxpayer First Act Report to Congress
5427,Publ 5427: Tax Scam Alert
5428,Publ 5428: Fact Sheet for SPEC Partners: Becoming A SPEC Certifying Acceptance Agent (CAA)
5433,Publ 5433: Working Virtually: Part 1 - Security Six
5433-A,Publ 5433-A: Working Virtually: Part 2 - Multi-factor authentication
5433-B,Publ 5433-B: Working Virtually: Part 3 - Use a Virtual Private Network
5433-C,Publ 5433-C: Working Virtually: Part 4 - Avoid Phishing Scams
5433-D,Publ 5433-D: Working Virtually: Part 5 - Make a plan for protecting data and reporting theft
5434,Form 5434: Joint Board for the Enrollment of Actuaries - Application for Enrollment
5434-A,Form 5434-A: Joint Board for the Enrollment of Actuaries - Application for Renewal of Enrollment
5435 ,Publ 5435 : Need to pay your taxes in cash? There are ways to pay.
5435-A ,Publ 5435-A : Need to pay your taxes in cash?
5436 ,Publ 5436 : Large Cash Payments: What to Expect
5436-A ,Publ 5436-A : Paying in Cash at an IRS Taxpayer Assistance Center?
5439,Publ 5439: Municipal Bonds OneSheet
544,Publ 544: Sales and other Dispositions of Assets
5440,Publ 5440: FEAB Partner Spotlight
5444,Publ 5444: Did You Receive Unemployment Benefits?
5446,Publ 5446: MeF Submission Composition Guide
5447,Publ 5447: How to Close a Sole Proprietorship
5447-A,Publ 5447-A: How to Close a Partnership
5447-B,Publ 5447-B: How to Close a Corporation
5448,Publ 5448: FY 2021 SB/SE Focus Guide
5450,Publ 5450: VITA/TCE Site Operations
5451,Publ 5451: VITA /TCE Volunteer Orientation
5451-A,Publ 5451-A: VITA/TCE Volunteer Orientation With Notes
5452,Form 5452: Corporate Report of Nondividend Distributions
5455,Publ 5455: Fact Sheet: Reporting Data Breaches at VITA/TCE Sites for SPEC Partners
5457,Publ 5457: TCE Grant Award Notification Required Actions and Other Information
5461,Publ 5461: Security Summit - Protect personal and financial information online
5461-A,Publ 5461-A: Security Summit - Use multi-factor authentication
5461-B,Publ 5461-B: Security Summit - Get an Identity Protection PIN
5461-C,Publ 5461-C: Security Summit - Businesses at risk for identity theft
5461-D,Publ 5461-D: Security Summit - Tax professionals should review their safeguards
5462,Publ 5462: Fact Sheet: TaxSlayer Software Ordering Guidance
5464,Publ 5464: Conservation Easement Audit Technique Guide
5465,Publ 5465: Management Directive 715 Annual Report
5466,Publ 5466: Ten Reminders To Keep You And Others Safe at VITA/TCE Sites
5467,Publ 5467: Reporting Unemployment Compensation on a Tax Return
5468,Publ 5468: A Closer Look
5468-A,Publ 5468-A: A Closer Look (Group Two)
547,"Publ 547: Casualties, Disasters, and Thefts"
5470,Publ 5470: Overview of Form 1024 E-Filing Course: Text Version
5471,Form 5471: Information Return of U.S. Persons With Respect To Certain Foreign Corporations
5471,Publ 5471: Fact Sheet: Disclosure and Use of Tax Information - Internal Revenue Code (IRC) 7216 Requirements for VITA/TCE Partners
5471 (Schedule E),"Form 5471 (Schedule E): Income, War Profits, and Excess Profits Taxes Paid or Accrued"
5471 (Schedule H),Form 5471 (Schedule H): Current Earnings and Profits
5471 (Schedule I-1),Form 5471 (Schedule I-1): Information for Global Intangible Low-Taxed Income
5471 (Schedule J),Form 5471 (Schedule J): Accumulated Earnings and Profits (E&P) of Controlled Foreign Corporation
5471 (Schedule M),Form 5471 (Schedule M): Transactions Between Controlled Foreign Corporation and Shareholders or Other Related Persons
5471 (Schedule O),"Form 5471 (Schedule O): Organization or Reorganization of Foreign Corporation, and Acquisitions and Dispositions of Its Stock"
5471 (Schedule P),Form 5471 (Schedule P): Previously Taxed Earnings and Profits of U.S. Shareholder of Certain Foreign Corporations
5471 (Schedule Q),Form 5471 (Schedule Q): CFC Income by CFC Income Groups
5471 (Schedule R),Form 5471 (Schedule R): Distributions From a Foreign Corporation
5472,Form 5472: Information Return of a 25% Foreign-Owned U.S. Corporation or a Foreign Corporation Engaged in a U.S. Trade or Business
5473,Publ 5473: Make Chapter 13 bankruptcy plan payments to the IRS more efficiently - pay electronically
5475,Publ 5475: What you need to know about the second Economic Impact Payments
5477,Publ 5477: All taxpayers now eligible for Identity Protection PINs
5478,Publ 5478: IRS Free File available now
5486,Publ 5486: Claiming the Recovery Rebate Credit on a 2020 Tax Return
5486-A,Publ 5486-A: Claiming the Recovery Rebate Credit When You Don't Normally File a Tax return
5488,Publ 5488: Internal Revenue Service Acquisition Policy
5489,Publ 5489: Taxpayers can use 2019 income for Earned Income Tax Credit
5490 ,"Publ 5490 : Get your Money on time, Every Time"
5494,Publ 5494: IRS Toolkit for Partners: Helping Individuals with the 2021 Tax Filing Season and the 2020 Recovery Rebate Credit
5495,Form 5495: Request for Discharge from Personal Liability Under Internal Revenue Code Section 2204 or 6905
5497,"Publ 5497: Photographic Requirements for Art, Antiques, Decorative Arts & Other Cultural Properties Reviewed by Art Appraisal Services and The Commissioner's Art Advisory Panel"
5498,Form 5498: IRA Contribution Information (Info Copy Only)
5498,Publ 5498: Individual Retirement Arrangements
5498-ESA,Form 5498-ESA: Coverdell ESA Contribution Information
5498-QA,Form 5498-QA: ABLE Account Contribution Information
5498-SA,"Form 5498-SA: HSA, Archer MSA, or Medicare Advantage MSA Information"
55-B,Publ 55-B: Internal Revenue Service Data Book
550,Publ 550: Investment Income and Expenses
5500-EZ,Form 5500-EZ: Annual Return of A One Participant (Owners/Partners and Their Spouses) Retirement Plan or A Foreign Plan
551,Publ 551: Basis of Assets
554,Publ 554: Tax Guide for Seniors
555,Publ 555: Community Property
5558,Form 5558: Application for Extension of Time to File Certain Employee Plan Returns
556,"Publ 556: Examination of Returns, Appeal Rights, and Claims for Refund"
557,Publ 557: Tax-Exempt Status for Your Organization
5578,Form 5578: Annual Certification of Racial Nondiscrimination for a Private School Exempt From Federal Income Tax
559,"Publ 559: Survivors, Executors and Administrators"
56,Form 56: Notice Concerning Fiduciary Relationship
56-F,Form 56-F: Notice Concerning Fiduciary Relationship of Financial Institution
560,"Publ 560: Retirement Plans for Small Business (SEP, SIMPLE and Qualified Plans)"
561,Publ 561: Determining the Value of Donated Property
5646,"Form 5646: Claim for Damage, Injury, or Death"
5695,Form 5695: Residential Energy Credits
570,Publ 570: Tax Guide for Individuals With Income from U.S. Possessions
571,Publ 571: Tax-Sheltered Annuity Plans (403(b) Plans) For Employees of Public Schools and Certain Tax-Exempt Organizations
5713,Form 5713: International Boycott Report
5713 (Schedule A),Form 5713 (Schedule A): International Boycott Factor (Section 999(c)(1))
5713 (Schedule B),Form 5713 (Schedule B): Specifically Attributable Taxes and Income (Section 999(c)(2))
5713 (Schedule C),Form 5713 (Schedule C): Tax Effect of the International Boycott Provisions
5735,Form 5735: American Samoa Economic Development Credit
575,Publ 575: Pension and Annuity Income
5754,Form 5754: Statement by Person(s) Receiving Gambling Winnings
5768,Form 5768: Election/Revocation of Election By an Eligible Section 501(c)(3) Organization to Make Expenditures To Influence Legislation
583,Publ 583: Starting a Business and Keeping Records
584,"Publ 584: Casualty, Disaster, and Theft Loss Workbook (Personal-Use Property)"
584-B,"Publ 584-B: Business Casualty, Disaster, and Theft Loss Workbook"
587,Publ 587: Business Use of Your Home (Including Use by Day-Care Providers)
5884,Form 5884: Work Opportunity Credit
5884-A,Form 5884-A: Employee Retention Credit
5884-C,Form 5884-C: Work Opportunity Credit for Qualified Tax-Exempt Organizations Hiring Qualified Veterans
590-A,Publ 590-A: Contributions to Individual Retirement Arrangements (IRAs)
590-B,Publ 590-B: Distributions from Individual Retirement Arrangements (IRAs)
594,Publ 594: The IRS Collection Process
595,Publ 595: Capital Construction Fund for Commercial Fishermen
596,Publ 596: Earned Income Credit
597,Publ 597: Information on the United States-Canada Income Tax Treaty
598,Publ 598: Tax on Unrelated Business Income of Exempt Organizations
6069,Form 6069: Return of Excise Tax on Excess Contributions to Black Lung Benefit Trust Under Section 4953 and Computation of Section 192 Deduction
6088,Form 6088: Distributable Benefits From Employee Pension Benefit Plans
609,Notc 609: Privacy Act Notice
6118,Form 6118: Claim for Refund of Income Tax Return Preparer and Promoter Penalties
6149,Publ 6149: Calendar Year Return Projections by State
6186,Publ 6186: Calendar Year Return Projections for the United States and IRS Campuses
6186-A,Publ 6186-A: Calendar Year Projections for the United States and IRS Campuses
6187,Publ 6187: Calendar Year Projections of Individual Returns by Major Processing Categories
6187-A,Publ 6187-A: Calendar Year Projections of Individual Returns by Major Processing Categories
6197,Form 6197: Gas Guzzler Tax
6198,Form 6198: At-Risk Limitations
6251,Form 6251: Alternative Minimum Tax - Individuals
6252,Form 6252: Installment Sale Income
6292,Publ 6292: Fiscal Year Return Projections for the United States
6292-A,Publ 6292-A: Fiscal Year Return Projections for the United States
637,Form 637: Application for Registration (For Certain Excise Tax Activities)
6388,"Publ 6388: Employee Benefit Plans: Explanation No. 1, Minimum Participation Standards"
6389,"Publ 6389: Employee Benefit Plans: Explanation No. 2, Minimum Vesting Standards, Defined Contribution Plan"
6391,"Publ 6391: Employee Benefit Plans: Explanation No. 3, Joint and Survivor, Determination of Qualification"
6392,"Publ 6392: Employee Benefit Plans: Explanation No. 4, Miscellaneous Provisions"
6393,"Publ 6393: Employee Benefit Plans: Explanation No. 5, Coverage and Nondiscrimination Requirements, Defined Contribution Plans"
6478,Form 6478: Biofuel Producer Credit
6497,Form 6497: Information Return of Nontaxable Energy Grants or Subsidized Energy Financing
6524,Form 6524: Chief Counsel Application Honors/Summer
656,Form 656: Offer in Compromise
656-B,Form 656-B: Form 656 Booklet Offer in Compromise
656-L,Form 656-L: Offer in Compromise (Doubt as to Liability)
656-PPV,Form 656-PPV: Offer in Compromise - Periodic Payment Voucher
6627,Form 6627: Environmental Taxes
6729,Form 6729: QSS Site Review Sheet
6729-D,Form 6729-D: Site Review Sheet
6729-P,Form 6729-P: Partner Return Review Sheet
6729-R,Form 6729-R: QSS Return Review Sheet
673,Form 673: Statement for Claiming Exemption from Withholding on Foreign Earned Income Eligible for the Exclusion(s) Provided by Section 911
6744,Form 6744: VITA/TCE Volunteer Assistor's Test/Retest
6765,Form 6765: Credit for Increasing Research Activities
6781,Form 6781: Gains and Losses From Section 1256 Contracts and Straddles
6961,Publ 6961: Calendar Year Projections of Information and Withholding Documents for the United States and IRS Campuses
6961-A,Publ 6961-A: Calendar Year Projections of Information and Withholding Documents for the United States and IRS Campuses
7001,"Publ 7001: Employee Benefit Plans: Explanation No. 6, Limitations On Contributions and Benefits"
7002,"Publ 7002: Employee Benefit Plans: Explanation No. 7, Top Heavy Requirements"
7003,"Publ 7003: Employee Benefit Plans: Explanation No. 8, Employee Leasing"
7004,"Form 7004: Application for Automatic Extension of Time To File Certain Business Income Tax, Information, and Other Returns"
7004,"Publ 7004: Employee Benefit Plans: Explanation No. 9, Required Distributions"
7005,"Publ 7005: Employee Benefit Plans: Explanation No. 10, Affiliated Service Groups"
703,Notc 703: Read This To See If Your Social Security Benefits May Be Taxable
7036,Form 7036: Election under Section 1101(g)(4) of the Bipartisan Budget Act of 2015
706,Form 706: United States Estate (and Generation-Skipping Transfer) Tax Return
706 (Schedule R-1),Form 706 (Schedule R-1): Generating-Skipping Transfer Tax
706-A,Form 706-A: United States Additional Estate Tax Return
706-CE,Form 706-CE: Certification of Payment of Foreign Death Tax
706-GS(D),Form 706-GS(D): Generation-Skipping Transfer Tax Return for Distributions
706-GS(D-1),Form 706-GS(D-1): Notification of Distribution From a Generation-Skipping Trust
706-NA,Form 706-NA: United States Estate (and Generation-Skipping Transfer) Tax Return Estate of nonresident not a citizen of the United States
706-QDT,Form 706-QDT: U.S. Estate Tax Return for Qualified Domestic Trusts
709,Form 709: United States Gift (and Generation-Skipping Transfer) Tax Return
712,Form 712: Life Insurance Statement
720,Form 720: Quarterly Federal Excise Tax Return
720-CS,Form 720-CS: Carrier Summary Report
720-TO,Form 720-TO: Terminal Operator Report
720-X,Form 720-X: Amended Quarterly Federal Excise Tax Return
7200,Form 7200: Advance Payment of Employer Credits Due to COVID-19
7202,Form 7202: Credits for Sick Leave and Family Leave for Certain Self-Employed Individuals
721,Publ 721: Tax Guide to U.S. Civil Service Retirement Benefits
730,Form 730: Monthly Tax Return for Wagers
7334,"Publ 7334: Employee Benefit Plans: Explanation No. 11, Employee and Matching Contributions"
7335,"Publ 7335: Employee Benefit Plans: Explanation No. 12, Section 401(k) Requirements"
746,"Notc 746: Information About Your Notice, Penalty and Interest"
783,Publ 783: Instructions on How to Apply for Certificate of Discharge from Federal Tax Lien
784,Notc 784: Could You be Personally Liable for Certain Unpaid Federal Taxes
784,Publ 784: Instructions on How to Apply for a Certificate of Subordination of Federal Tax Lien
785,Publ 785: Purchase Money Mortgages and Subordination of the Federal Tax Lien
786,Publ 786: Instructions for Preparing Notice of Nonjudicial Sale of Property and Application for Consent to Sale
794,Publ 794: Favorable Determination Letter
797,Notc 797: Possible Federal Tax Refund Due to the Earned Income Credit (EIC)
80,"Publ 80: Circular SS - Federal Tax Guide for Employers in the U.S. Virgin Islands, Guam, American Samoa, and the Commonwealth of the Northern Mariana Islands"
8023,Form 8023: Elections Under Section 338 for Corporations Making Qualified Stock Purchases
8027,Form 8027: Employer's Annual Information Return of Tip Income and Allocated Tips
8027-T,Form 8027-T: Transmittal of Employer's Annual Information Return of Tip Income and Allocated Tips
8038,Form 8038: Information Return for Tax-Exempt Private Activity Bond Issues
8038-B,Form 8038-B: Information Return for Build America Bonds and Recovery Zone Economic Development Bonds
8038-CP,Form 8038-CP: Return for Credit Payments to Issuers of Qualified Bonds
8038-G,Form 8038-G: Information Return for Tax-Exempt Governmental Obligations
8038-GC,"Form 8038-GC: Information Return for Small Tax-Exempt Governmental Bond Issues, Leases, and Installment Sales"
8038-R,Form 8038-R: Request for Recovery of Overpayments Under Arbitrage Rebate Provisions
8038-T,"Form 8038-T: Arbitrage Rebate, Yield Reduction and Penalty in Lieu of Arbitrage Rebate"
8038-TC,Form 8038-TC: Information Return for Tax Credit Bonds and Specified Tax Credit Bonds
8050,Form 8050: Direct Deposit of Corporate Tax Refund
8082,Form 8082: Notice of Inconsistent Treatment or Administrative Adjustment Request (AAR)
8233,Form 8233: Exemption From Withholding on Compensation for Independent (and Certain Dependent) Personal Services of a Nonresident Alien Individual
8274,Form 8274: Certification by Churches and Qualified Church-Controlled Organizations Electing Exemption From Employer Social Security and Medicare Taxes
8275,Form 8275: Disclosure Statement
8275-R,Form 8275-R: Regulation Disclosure Statement
8281,Form 8281: Information Return for Publicly Offered Original Issue Discount Instruments
8282,"Form 8282: Donee Information Return (Sale, Exchange or Other Disposition of Donated Property)"
8283,Form 8283: Noncash Charitable Contributions
8283-V,Form 8283-V: Payment Voucher for Filing Fee Under Section 170(f)(13)
8288,Form 8288: U.S. Withholding Tax Return for Dispositions by Foreign Persons of U.S. Real Property Interests
8288-A,Form 8288-A: Statement of Withholding on Dispositions by Foreign Persons of U.S. Real Property Interests
8288-B,Form 8288-B: Application for Withholding Certificate for Dispositions by Foreign Persons of U.S. Real Property Interests
8300,"Form 8300: Report of Cash Payments Over $10,000 Received In a Trade or Business"
8302,Form 8302: Direct Deposit of Tax Refund of $1 Million or More
8308,Form 8308: Report of a Sale or Exchange of Certain Partnership Interests
8316,"Form 8316: Information Regarding Request for Refund of Social Security Tax Erroneously Withheld on Wages Received by a Nonresident Alien on an F, J, or M Type Visa"
8328,Form 8328: Carryforward Election of Unused Private Activity Bond Volume Cap
8329,Form 8329: Lender's Information Return for Mortgage Credit Certificates (MCCs)
8330,Form 8330: Issuer's Quarterly Information Return for Mortgage Credit Certificates (MCCs)
8332,Form 8332: Release/Revocation of Release of Claim to Exemption for Child by Custodial Parent
8379,Form 8379: Injured Spouse Allocation
8396,Form 8396: Mortgage Interest Credit
8404,Form 8404: Interest Charge on DISC-Related Deferred Tax Liability
843,Form 843: Claim for Refund and Request for Abatement
844,Notc 844: Federal Tax Obligations of Non-Profit Corporations
8453,Form 8453: U.S. Individual Income Tax Transmittal for an IRS e-file Return
8453-C,Form 8453-C: U.S. Corporation Income Tax Declaration for an IRS e-file Return
8453-EMP,Form 8453-EMP: Employment Tax Declaration for an IRS e-file Return
8453-EO,Form 8453-EO: Exempt Organization Declaration and Signature for Electronic Filing
8453-EX,Form 8453-EX: Excise Tax Declaration for an IRS e-file Return
8453-FE,Form 8453-FE: U.S. Estate or Trust Declaration for an IRS e-file Return
8453-I,Form 8453-I: Foreign Corporation Income Tax Declaration for an IRS e-file Return
8453-PE,Form 8453-PE: U.S. Partnership Declaration for an IRS e-file Return
8453-R,Form 8453-R: Electronic Filing Declaration for Form 8963
8453-S,Form 8453-S: U.S. S Corporation Income Tax Declaration for an IRS e-file Return
8453-X,Form 8453-X: Political Organization Declaration for Electronic Filing of Notice of Section 527 Status
8498,Form 8498: Continuing Education Provider Application and Request for Provider Number
850 ,Publ 850 : English-Spanish Glossary of Words and Phrases
8508,Form 8508: Request for Waiver From Filing Information Returns Electronically
8508-I,Form 8508-I: Request for Waiver From Filing Information Returns Electronically
851,Form 851: Affiliations Schedule
8546,Form 8546: Claim for Reimbursement of Bank Charges Incurred Due to Erroneous Service Levy or Misplaced Payment Check
8554,Form 8554: Application for Renewal of Enrollment to Practice Before the Internal Revenue Service
8554-EP,Form 8554-EP: Application for Renewal of Enrollment to Practice Before the Internal Revenue Service as an Enrolled Retirement Plan Agent (ERPA)
8569,Form 8569: Geographic Availability Statement
8582,Form 8582: Passive Activity Loss Limitations
8582-CR,Form 8582-CR: Passive Activity Credit Limitations
8586,Form 8586: Low-Income Housing Credit
8594,Form 8594: Asset Acquisition Statement Under Section 1060
8596,Form 8596: Information Return for Federal Contracts
8596-A,Form 8596-A: Quarterly Transmittal of Information Returns for Federal Contracts
8606,Form 8606: Nondeductible IRAs
8609,Form 8609: Low-Income Housing Credit Allocation and Certification
8609-A,Form 8609-A: Annual Statement for Low-Income Housing Credit
8610,Form 8610: Annual Low-Income Housing Credit Agencies Report
8610 (Schedule A),Form 8610 (Schedule A): Carryover Allocation of Low-Income Housing Credit
8611,Form 8611: Recapture of Low-Income Housing Credit
8612,Form 8612: Return of Excise Tax on Undistributed Income of Real Estate Investment Trusts
8613,Form 8613: Return of Excise Tax on Undistributed Income of Regulated Investment Companies
8615,Form 8615: Tax for Certain Children Who Have Unearned Income
8621,Form 8621: Information Return by a Shareholder of a Passive Foreign Investment Company or Qualified Electing Fund
8621-A,Form 8621-A: Return by a Shareholder Making Certain Late Elections To End Treatment as a Passive Foreign Investment Company
8653,Form 8653: Tax Counseling for the Elderly Program Application Plan
8654,Form 8654: Tax Counseling for the Elderly Program Semi-Annual/Annual Program Report
8655,Form 8655: Reporting Agent Authorization
8689,Form 8689: Allocation of Individual Income Tax to the U.S. Virgin Islands
8697,Form 8697: Interest Computation Under the Look-Back Method for Completed Long-Term Contracts
8703,Form 8703: Annual Certification of a Residential Rental Project
8716,Form 8716: Election to Have a Tax Year Other Than a Required Tax Year
8717,Form 8717: User Fee for Employee Plan Determination Letter Request
8717-A,Form 8717-A: User Fee for Employee Plan Opinion or Advisory Letter Request
8718,Form 8718: User Fee for Exempt Organization Determination Letter Request
8725,Form 8725: Excise Tax on Greenmail
8752,Form 8752: Required Payment or Refund Under Section 7519
8796-A,Form 8796-A: Request for Return/Information (Federal/State Tax Exchange Program - State and Local Government Use Only)
8801,"Form 8801: Credit for Prior Year Minimum Tax - Individuals, Estates, and Trusts"
8802,Form 8802: Application for U.S. Residency Certification
8804,Form 8804: Annual Return for Partnership Withholding Tax (Section 1446)
8804 (Schedule A),Form 8804 (Schedule A): Penalty for Underpayment of Estimated Section 1446 Tax by Partnerships
8804-C,Form 8804-C: Certificate of Partner-Level Items to Reduce Section 1446 Withholding
8804-W,Form 8804-W: Installment Payments of Section 1446 Tax for Partnerships
8805,Form 8805: Foreign Partner's Information Statement of Section 1446 Withholding tax
8806,Form 8806: Information Return for Acquisition of Control or Substantial Change in Capital Structure
8809,Form 8809: Application for Extension of Time to File Information Returns
8809-EX,Form 8809-EX: Request for Extension of Time To File an ExSTARS Information Return (For Form 720TO or Form 720CS)
8809-I,Form 8809-I: Application for Extension of Time to File FATCA Form 8966
8810,Form 8810: Corporate Passive Activity Loss and Credit Limitations
8811,Form 8811: Information Return for Real Estate Mortgage Investment Conduits (REMICs) and Issuers of Collateralized Debt Obligations
8813,Form 8813: Partnership Withholding Tax Payment Voucher (Section 1446)
8814,Form 8814: Parents' Election to Report Child's Interest and Dividends
8815,Form 8815: Exclusion of Interest From Series EE and I U.S. Savings Bonds Issued After 1989
8818,Form 8818: Optional Form To Record Redemption of Series EE and I U.S. Savings Bonds Issued After 1989
8819,Form 8819: Dollar Election Under Section 985
8820,Form 8820: Orphan Drug Credit
8821,Form 8821: Tax Information Authorization
8821-A,Form 8821-A: IRS Disclosure Authorization for Victims of Identity Theft
8822,Form 8822: Change of Address
8822-B,Form 8822-B: Change of Address or Responsible Party - Business
8823,Form 8823: Low-Income Housing Credit Agencies Report of Noncompliance or Building Disposition
8824,Form 8824: Like-Kind Exchanges
8825,Form 8825: Rental Real Estate Income and Expenses of a Partnership or an S Corporation
8826,Form 8826: Disabled Access Credit
8827,Form 8827: Credit for Prior Year Minimum Tax - Corporations
8828,Form 8828: Recapture of Federal Mortgage Subsidy
8829,Form 8829: Expenses for Business Use of Your Home
8831,Form 8831: Excise Taxes on Excess Inclusions of REMIC Residual Interests
8832,Form 8832: Entity Classification Election
8833,Form 8833: Treaty-Based Return Position Disclosure Under Section 6114 or 7701(b)
8834,Form 8834: Qualified Electric Vehicle Credit
